lattice_param_AA,volume_per_atom_AA3,energy_per_atom_eV
5.26807,18.27530459905999,-155.29920194082126
5.32238,18.846367194163154,-155.33706147933574
5.37669,19.429203862898664,-155.36190050672744
5.431,20.023934748874996,-155.3748683638224
5.48531,20.630679995700664,-155.37704575073087
5.53962,21.249559746984144,-155.369441733595
5.59393,21.880694146333937,-155.35299775826812
